,0
lm - type of stenosis,0.0015241206590840737
lada - type of stenosis,-0.0
ladb - type of stenosis,0.0
ladc - type of stenosis,-0.0
d1 - type of stenosis,0.0
d2 - type of stenosis,0.0
lcxa - type of stenosis,2.842965241429533e-05
lcxb - type of stenosis,0.0010190324162823853
lcxc -type of stenosis,0.0
lpd - type of stenosis,-0.0002406344573354288
lom1 - type of stenosis,0.0
lom2 - type of stenosis,0.0
im - type of stenosis,0.0003548025779268795
lpl - type of stenosis,-0.0
rcaa - type of stenosis,0.0009856698229612421
rcab - type of stenosis,0.0007916466688085476
rcac - type of stenosis,-0.0
rpd - type of stenosis,0.0
rpl - type of stenosis,-0.0
stenosis type 1 count,-0.0
stenosis type 2 count,-0.0
max cta type,0.0
max high risk cta type,-0.0
sis,-4.293909208514966e-05
