,0
lm - type of stenosis,0.0
lada - type of stenosis,0.0
ladb - type of stenosis,5.622389762584435e-05
ladc - type of stenosis,-0.0
d1 - type of stenosis,3.3440900043076776e-05
d2 - type of stenosis,-0.0
lcxa - type of stenosis,0.0002204618485515671
lcxb - type of stenosis,-0.0
lcxc -type of stenosis,0.0
lpd - type of stenosis,-0.00015969622231066973
lom1 - type of stenosis,0.0
lom2 - type of stenosis,-0.0
im - type of stenosis,0.00011699964632688482
lpl - type of stenosis,0.0
rcaa - type of stenosis,0.0007564662557400367
rcab - type of stenosis,0.0
rcac - type of stenosis,0.0
rpd - type of stenosis,0.0
rpl - type of stenosis,-0.00027442505814016094
stenosis type 1 count,-0.0
stenosis type 2 count,0.0
max cta type,0.0
max high risk cta type,0.0
sis,-0.0006938202982662991
