,0
sex,-0.0015537707859722995
age,0.002214482285486767
bmi,0.0
smoking,0.00040449418095989337
diabetes,0.00030002455328801477
hypertension,-0.00011508499188339548
dyslipidemia,-0.0
chestpain,0.0
dyspnea,-0.0012970180678153833
lm - type of stenosis,0.0011361747108759352
lada - type of stenosis,-0.00023930132433305288
ladb - type of stenosis,0.00041473027059441583
ladc - type of stenosis,-0.0
d1 - type of stenosis,-0.0002378346229291348
d2 - type of stenosis,-0.0
lcxa - type of stenosis,-0.0
lcxb - type of stenosis,0.0005024270632997562
lcxc -type of stenosis,0.0
lpd - type of stenosis,-0.0
lom1 - type of stenosis,-0.0002954924786493612
lom2 - type of stenosis,-0.0001688733854021339
im - type of stenosis,-0.0
lpl - type of stenosis,-0.0004709009314232841
rcaa - type of stenosis,0.0001657727957468542
rcab - type of stenosis,0.0006617357279860922
rcac - type of stenosis,-0.0
rpd - type of stenosis,0.0
rpl - type of stenosis,0.00044825999160438563
stenosis type 1 count,-0.0
stenosis type 2 count,0.0
max cta type,-0.0
max high risk cta type,-0.0
sis,-0.0
