,0
sex,-0.000789863289521419
age,0.0014903789672785074
bmi,0.0
smoking,0.0004054441195868473
diabetes,0.00014496745673463733
hypertension,-0.0
dyslipidemia,0.0
chestpain,0.0
dyspnea,-0.001336847700805281
lm - type of stenosis,0.0008476674228526709
lada - type of stenosis,-1.0965721674973418e-05
ladb - type of stenosis,-0.0
ladc - type of stenosis,-0.00023938644659237497
d1 - type of stenosis,-0.0
d2 - type of stenosis,-0.0
lcxa - type of stenosis,0.00037917330268712196
lcxb - type of stenosis,0.0
lcxc -type of stenosis,0.0
lpd - type of stenosis,-0.0
lom1 - type of stenosis,-0.0
lom2 - type of stenosis,-7.4855413277014376e-06
im - type of stenosis,-0.0
lpl - type of stenosis,0.0
rcaa - type of stenosis,0.0
rcab - type of stenosis,0.0011075920622330513
rcac - type of stenosis,0.0
rpd - type of stenosis,0.0
rpl - type of stenosis,0.00020529360801179093
stenosis type 1 count,0.0
stenosis type 2 count,-0.0
max cta type,0.0
max high risk cta type,-0.0
sis,-0.0005617156187587779
