,0
sex,-0.001203077528583445
age,0.002372297380047684
bmi,-0.0
smoking,0.0011890541972054366
diabetes,0.0003043279378889008
hypertension,-0.0
dyslipidemia,0.0
chestpain,0.0
dyspnea,-0.0006061246699688822
lm - type of stenosis,0.00021114851792456056
lada - type of stenosis,-0.0009695395933758079
ladb - type of stenosis,2.960652437921361e-05
ladc - type of stenosis,-0.0002153755837998185
d1 - type of stenosis,-2.008920284137755e-05
d2 - type of stenosis,0.0
lcxa - type of stenosis,0.0
lcxb - type of stenosis,0.0005604963374708254
lcxc -type of stenosis,-0.0
lpd - type of stenosis,-0.00010260733805510152
lom1 - type of stenosis,0.0
lom2 - type of stenosis,0.00042610604625165977
im - type of stenosis,-0.0
lpl - type of stenosis,0.0
rcaa - type of stenosis,-0.0
rcab - type of stenosis,0.0003316927844287316
rcac - type of stenosis,0.0
rpd - type of stenosis,2.947925900226358e-05
rpl - type of stenosis,0.00024110568154937973
stenosis type 1 count,0.0
stenosis type 2 count,-0.0
max cta type,0.0
max high risk cta type,-0.0
sis,-0.0
PET CTA PCA1,0.0005534704575887778
