,0
sex,-0.0
age,0.0
bmi,-0.0
smoking,0.0
diabetes,0.0
hypertension,0.0
dyslipidemia,-0.0
chestpain,-0.0
dyspnea,-0.000936254003882454
lm - type of stenosis,0.0
lada - type of stenosis,0.0
ladb - type of stenosis,0.0
ladc - type of stenosis,-0.0
d1 - type of stenosis,0.00045198808545271674
d2 - type of stenosis,-0.0003742384968478373
lcxa - type of stenosis,0.0
lcxb - type of stenosis,-2.664517264830309e-05
lcxc -type of stenosis,0.0006739259457295594
lpd - type of stenosis,-0.0003527611587489337
lom1 - type of stenosis,-0.0
lom2 - type of stenosis,-0.0
im - type of stenosis,0.00011250282778545116
lpl - type of stenosis,-0.0
rcaa - type of stenosis,0.0005536212035686658
rcab - type of stenosis,0.0
rcac - type of stenosis,-0.0
rpd - type of stenosis,0.0
rpl - type of stenosis,-1.7137853404948063e-05
stenosis type 1 count,0.0
stenosis type 2 count,-0.0
max cta type,0.0
max high risk cta type,0.0
sis,-0.0003993996127497788
CTA PCA1,0.00032422240334179143
