,0
sex,-0.0022249273501692645
age,0.0003271796708313923
bmi,-0.001014614594563848
smoking,0.0011258244844344822
diabetes,0.0017007103530393632
hypertension,-9.266457091522084e-05
dyslipidemia,-0.0
chestpain,0.0019865967856847076
dyspnea,-0.002501518744701449
lm - type of stenosis,0.0006010424955069846
lada - type of stenosis,-9.653085898465666e-05
ladb - type of stenosis,0.00191096105829122
ladc - type of stenosis,-0.0
d1 - type of stenosis,-0.00045241009793433207
d2 - type of stenosis,0.0
lcxa - type of stenosis,0.0010085665119727808
lcxb - type of stenosis,0.0006800353858899563
lcxc -type of stenosis,-0.000918486197671256
lpd - type of stenosis,-0.0
lom1 - type of stenosis,-0.0009416325770114564
lom2 - type of stenosis,-0.0
im - type of stenosis,-8.808186997768971e-05
lpl - type of stenosis,-0.00018453689561630482
rcaa - type of stenosis,0.0
rcab - type of stenosis,0.0005541091392484425
rcac - type of stenosis,0.0
rpd - type of stenosis,-0.0007621419240271527
rpl - type of stenosis,0.0014490207481849067
stenosis type 1 count,0.0
stenosis type 2 count,-0.0
max cta type,0.003372389587392565
max high risk cta type,0.0
sis,-0.0020581347737336866
