,0
sex,-0.0016115941165162346
age,-0.0
bmi,-0.00035673685788303823
smoking,0.0009200890531601145
diabetes,0.000510064172417493
hypertension,-0.0
dyslipidemia,0.0
chestpain,0.0013870885619277433
dyspnea,-0.001358770056154321
lm - type of stenosis,0.0004023053477638464
lada - type of stenosis,-0.0
ladb - type of stenosis,0.00170581398959491
ladc - type of stenosis,0.0
d1 - type of stenosis,-0.0
d2 - type of stenosis,0.0
lcxa - type of stenosis,9.705724521196899e-05
lcxb - type of stenosis,0.0009068733502554967
lcxc -type of stenosis,-0.0004283913648804828
lpd - type of stenosis,-0.00012055359329009181
lom1 - type of stenosis,-0.0008906557193605564
lom2 - type of stenosis,0.0
im - type of stenosis,-0.0
lpl - type of stenosis,-0.0005429867394971371
rcaa - type of stenosis,0.0008358834775275093
rcab - type of stenosis,0.0010458337078439344
rcac - type of stenosis,-0.0
rpd - type of stenosis,-0.0
rpl - type of stenosis,0.0006573297812117677
stenosis type 1 count,-0.0
stenosis type 2 count,-0.0
max cta type,0.0032082724351833645
max high risk cta type,9.184899397565202e-05
sis,-0.002795054057684351
