,0
lm - type of stenosis,0.0
lada - type of stenosis,0.0
ladb - type of stenosis,-0.0
ladc - type of stenosis,-0.0004619538557572472
d1 - type of stenosis,0.0001230021789058112
d2 - type of stenosis,-0.0
lcxa - type of stenosis,0.0
lcxb - type of stenosis,-0.0
lcxc -type of stenosis,-0.0
lpd - type of stenosis,-0.0
lom1 - type of stenosis,-0.0
lom2 - type of stenosis,-0.0
im - type of stenosis,4.519778397087688e-06
lpl - type of stenosis,0.0001459592514015543
rcaa - type of stenosis,0.0007229067332244041
rcab - type of stenosis,0.0
rcac - type of stenosis,-0.0
rpd - type of stenosis,1.4569319698884016e-06
rpl - type of stenosis,-0.00013971095179725172
stenosis type 1 count,0.0
stenosis type 2 count,-0.0
max cta type,0.0
max high risk cta type,0.0
sis,-0.0003215203078907081
CTA PCA1,3.3831686533942626e-05
