,0
lm - type of stenosis,0.0
lada - type of stenosis,-0.00108191222893854
ladb - type of stenosis,0.001089859759933201
ladc - type of stenosis,-0.0
d1 - type of stenosis,-0.0
d2 - type of stenosis,0.00029914063494699617
lcxa - type of stenosis,0.0014987468573905952
lcxb - type of stenosis,-0.0
lcxc -type of stenosis,-0.0011769708115170947
lpd - type of stenosis,-0.00018241295242029
lom1 - type of stenosis,-0.000726532443128589
lom2 - type of stenosis,0.0003038753987214009
im - type of stenosis,-0.00029524006758216046
lpl - type of stenosis,-0.00043006513155253133
rcaa - type of stenosis,0.0
rcab - type of stenosis,0.001121431716354189
rcac - type of stenosis,-0.0
rpd - type of stenosis,-0.00026382821015960415
rpl - type of stenosis,0.00042100738657645313
stenosis type 1 count,0.0
stenosis type 2 count,-0.0018492877568388525
max cta type,0.002496570331772653
max high risk cta type,0.0
sis,-0.0
PET CTA PCA1,0.0023366604357868766
