,0
lm - type of stenosis,-9.207919203365155e-05
lada - type of stenosis,-0.0
ladb - type of stenosis,0.0
ladc - type of stenosis,0.00022478226422372865
d1 - type of stenosis,-0.000605021072060882
d2 - type of stenosis,-0.00010609085959368274
lcxa - type of stenosis,0.00034196760634691537
lcxb - type of stenosis,0.0
lcxc -type of stenosis,-0.0012476759291686372
lpd - type of stenosis,-0.00010185045638960139
lom1 - type of stenosis,-0.0011513240113089278
lom2 - type of stenosis,0.0
im - type of stenosis,7.165561801274573e-05
lpl - type of stenosis,-0.0
rcaa - type of stenosis,0.0
rcab - type of stenosis,0.00087023872713623
rcac - type of stenosis,-0.0
rpd - type of stenosis,-0.00038489460455809113
rpl - type of stenosis,0.00020200154119224422
stenosis type 1 count,0.0
stenosis type 2 count,-0.0
max cta type,0.0036018277197964583
max high risk cta type,6.81632224613907e-06
sis,-0.0033906558672873364
PET CTA PCA1,0.000798971267065189
