,0
lm - type of stenosis,0.0006074539158372858
lada - type of stenosis,0.0
ladb - type of stenosis,0.0023153401774826782
ladc - type of stenosis,-0.0
d1 - type of stenosis,-0.00041808551845476486
d2 - type of stenosis,0.000567784029384479
lcxa - type of stenosis,0.0006849500677431365
lcxb - type of stenosis,0.001484245931033611
lcxc -type of stenosis,-0.0007627209197530374
lpd - type of stenosis,-0.0005283905298503294
lom1 - type of stenosis,-0.0007750059935899929
lom2 - type of stenosis,0.00022324984693732536
im - type of stenosis,-2.1669815587360298e-05
lpl - type of stenosis,-0.00010236489046205646
rcaa - type of stenosis,0.0010439420618428182
rcab - type of stenosis,0.001357684977055886
rcac - type of stenosis,0.0
rpd - type of stenosis,-0.0005996158129318054
rpl - type of stenosis,0.0007369782820923791
stenosis type 1 count,-0.0
stenosis type 2 count,-0.0
max cta type,0.0027783702501006135
max high risk cta type,0.00017504094128494724
sis,-0.0019190461520556153
