,0
lm - type of stenosis,0.0008260098937600919
lada - type of stenosis,-0.00035265454238484005
ladb - type of stenosis,0.0011092669053154424
ladc - type of stenosis,-0.0
d1 - type of stenosis,0.0
d2 - type of stenosis,0.0004889780334933775
lcxa - type of stenosis,0.0004409564064970817
lcxb - type of stenosis,0.0
lcxc -type of stenosis,-5.137003258004956e-05
lpd - type of stenosis,0.0
lom1 - type of stenosis,-0.0014361727914567728
lom2 - type of stenosis,4.6354188408911625e-05
im - type of stenosis,0.0
lpl - type of stenosis,-0.0
rcaa - type of stenosis,0.0009933100897108692
rcab - type of stenosis,0.0025184433863544064
rcac - type of stenosis,-0.0
rpd - type of stenosis,-0.0005612406704484532
rpl - type of stenosis,0.0009480748928118357
stenosis type 1 count,-0.0
stenosis type 2 count,-0.0
max cta type,0.003395309655107241
max high risk cta type,0.0
sis,-0.002807682522295367
