,0
lm - type of stenosis,0.00032355172727951926
lada - type of stenosis,-0.000481741172855611
ladb - type of stenosis,0.0008759432895883932
ladc - type of stenosis,0.0
d1 - type of stenosis,-2.6177945129790515e-05
d2 - type of stenosis,0.00025048280138991624
lcxa - type of stenosis,0.0008546572229628504
lcxb - type of stenosis,0.0005882143866307118
lcxc -type of stenosis,-0.00045410952925109565
lpd - type of stenosis,-0.001245257876777121
lom1 - type of stenosis,-0.0006521834206574922
lom2 - type of stenosis,-0.0
im - type of stenosis,0.0
lpl - type of stenosis,0.0
rcaa - type of stenosis,0.0009634240036843133
rcab - type of stenosis,0.0013714558519481068
rcac - type of stenosis,0.00032842319825515805
rpd - type of stenosis,-0.0
rpl - type of stenosis,0.00013717145718759248
stenosis type 1 count,-0.0
stenosis type 2 count,-0.0
max cta type,0.004809522228982112
max high risk cta type,0.0001058153625829802
sis,-0.002176006511347444
