,0
lm - type of stenosis,0.0013005936118878994
lada - type of stenosis,-0.0003991407682604222
ladb - type of stenosis,0.0005474920302703404
ladc - type of stenosis,-8.769487726369019e-05
d1 - type of stenosis,0.0
d2 - type of stenosis,-2.6087354614052962e-05
lcxa - type of stenosis,-0.0
lcxb - type of stenosis,0.0010150157394891047
lcxc -type of stenosis,0.0
lpd - type of stenosis,-0.00014738755349675019
lom1 - type of stenosis,-0.000410535026085734
lom2 - type of stenosis,-1.4653493454630415e-05
im - type of stenosis,-0.0005792713772324202
lpl - type of stenosis,-0.0
rcaa - type of stenosis,0.0
rcab - type of stenosis,0.0005760207919894305
rcac - type of stenosis,-0.0
rpd - type of stenosis,-0.0
rpl - type of stenosis,0.00042921462619880063
stenosis type 1 count,-0.0
stenosis type 2 count,-0.0
max cta type,0.0
max high risk cta type,-0.0
sis,-0.0
PCA1,0.00027610440278450193
PCA2,0.0
