,0
lm - type of stenosis,0.0
lada - type of stenosis,-0.0
ladb - type of stenosis,0.0
ladc - type of stenosis,-0.0004740217747680606
d1 - type of stenosis,9.998249756017288e-05
d2 - type of stenosis,-0.0
lcxa - type of stenosis,-0.0
lcxb - type of stenosis,-0.0
lcxc -type of stenosis,0.0
lpd - type of stenosis,-0.0
lom1 - type of stenosis,-0.0
lom2 - type of stenosis,-0.0
im - type of stenosis,0.0
lpl - type of stenosis,0.0
rcaa - type of stenosis,0.0003160328730236088
rcab - type of stenosis,0.0
rcac - type of stenosis,-0.00013840978841403684
rpd - type of stenosis,0.0
rpl - type of stenosis,-0.0001514204862206856
stenosis type 1 count,0.0
stenosis type 2 count,-1.0376704294054946e-05
max cta type,0.0
max high risk cta type,0.0
sis,-0.0
PCA1,0.00039192698252232095
PCA2,0.00048431092268147794
