,0
lm - type of stenosis,0.0
lada - type of stenosis,-1.422191202347697e-05
ladb - type of stenosis,0.0
ladc - type of stenosis,-0.0007382219076964831
d1 - type of stenosis,8.506286780076257e-05
d2 - type of stenosis,-0.0001795411519920556
lcxa - type of stenosis,0.0
lcxb - type of stenosis,-4.800070781294731e-06
lcxc -type of stenosis,7.929316358967906e-05
lpd - type of stenosis,0.0
lom1 - type of stenosis,0.0
lom2 - type of stenosis,-8.374773192495722e-05
im - type of stenosis,0.0
lpl - type of stenosis,-9.228775011686473e-05
rcaa - type of stenosis,0.0
rcab - type of stenosis,0.0008172768086203233
rcac - type of stenosis,-0.0
rpd - type of stenosis,6.17776517104763e-05
rpl - type of stenosis,0.0
stenosis type 1 count,0.0
stenosis type 2 count,-0.0
max cta type,0.0
max high risk cta type,-0.0
sis,-0.0005747980231641963
PET CTA PCA1,0.00047466488381422745
