,0
sex,-0.00031899104803332745
age,0.002836368878944018
bmi,-0.0
smoking,0.0006089153211955399
diabetes,0.0009385960173609074
hypertension,-0.00040230749841217787
dyslipidemia,-0.0
chestpain,0.0
dyspnea,-0.0008950775214165999
lm - type of stenosis,0.0007532591274121796
lada - type of stenosis,-0.0009985162881063685
ladb - type of stenosis,5.746685116972647e-05
ladc - type of stenosis,-0.00021822999671534436
d1 - type of stenosis,0.0
d2 - type of stenosis,-0.0
lcxa - type of stenosis,0.0
lcxb - type of stenosis,0.00012644317792169358
lcxc -type of stenosis,0.0002859999352482569
lpd - type of stenosis,-0.0
lom1 - type of stenosis,-0.0
lom2 - type of stenosis,-0.00010523506587530146
im - type of stenosis,-0.0
lpl - type of stenosis,-0.00043301893643040064
rcaa - type of stenosis,0.0
rcab - type of stenosis,0.0
rcac - type of stenosis,-0.0
rpd - type of stenosis,-0.00022278371916360106
rpl - type of stenosis,0.0
stenosis type 1 count,0.0
stenosis type 2 count,-0.0
max cta type,0.0
max high risk cta type,-0.0
sis,-0.000335573324097278
PCA1,0.0005211862364223627
PCA2,0.0007462969667920286
