,0
sex,-0.0010365050582523498
age,8.028594904490084e-06
bmi,-0.00038958197189274175
smoking,0.000932455472373431
diabetes,0.0005759005665013418
hypertension,-9.121382699592246e-05
dyslipidemia,-0.0
chestpain,0.0023251818687424768
dyspnea,-0.0015065031319551263
lm - type of stenosis,0.0007731867718397804
lada - type of stenosis,-0.0005648299546752577
ladb - type of stenosis,0.0010613677162038225
ladc - type of stenosis,-0.0
d1 - type of stenosis,-0.0
d2 - type of stenosis,0.0008068779619702706
lcxa - type of stenosis,0.0008418167336070387
lcxb - type of stenosis,0.0
lcxc -type of stenosis,-0.0009692740396990047
lpd - type of stenosis,-0.0007835348442689344
lom1 - type of stenosis,-0.000785092536650658
lom2 - type of stenosis,-0.0
im - type of stenosis,-0.0
lpl - type of stenosis,0.0
rcaa - type of stenosis,0.001117377345389297
rcab - type of stenosis,0.0006827930791388725
rcac - type of stenosis,-9.202196646476459e-05
rpd - type of stenosis,-0.0007746405150056532
rpl - type of stenosis,0.0005437906228580771
stenosis type 1 count,0.0
stenosis type 2 count,-0.0
max cta type,0.003481692086205651
max high risk cta type,0.0
sis,-0.0012157368691606872
PET CTA PCA1,0.0009788212854615638
