,0
lm - type of stenosis,0.0
lada - type of stenosis,-0.001100783788608199
ladb - type of stenosis,0.0006777979420223485
ladc - type of stenosis,-0.0
d1 - type of stenosis,-0.0006892089151450369
d2 - type of stenosis,-0.0
lcxa - type of stenosis,6.983427074031422e-05
lcxb - type of stenosis,-0.0
lcxc -type of stenosis,-0.0004903532173015737
lpd - type of stenosis,-0.0003502946836447525
lom1 - type of stenosis,-0.0007799770768720654
lom2 - type of stenosis,1.980293406755077e-05
im - type of stenosis,-0.00014401059152990646
lpl - type of stenosis,-0.00016845168561680792
rcaa - type of stenosis,0.0004721987870926012
rcab - type of stenosis,0.0012872828898518914
rcac - type of stenosis,-0.0
rpd - type of stenosis,-0.00023072511788845164
rpl - type of stenosis,0.0
stenosis type 1 count,0.0
stenosis type 2 count,-0.001898564039778677
max cta type,0.002330512247907459
max high risk cta type,0.0
sis,-0.0
PET CTA PCA1,0.0023818218849237546
