,0
lm - type of stenosis,0.0
lada - type of stenosis,-0.0006810890144423753
ladb - type of stenosis,0.001169981522660783
ladc - type of stenosis,-0.0010341634293404111
d1 - type of stenosis,-0.00037325619311437565
d2 - type of stenosis,-0.0
lcxa - type of stenosis,0.00021221788070358645
lcxb - type of stenosis,-0.0
lcxc -type of stenosis,-0.000231748651189036
lpd - type of stenosis,-0.0005773707652251593
lom1 - type of stenosis,-0.001372264627120053
lom2 - type of stenosis,0.0
im - type of stenosis,8.830493235049875e-05
lpl - type of stenosis,-0.0
rcaa - type of stenosis,0.0
rcab - type of stenosis,0.00029487363616069717
rcac - type of stenosis,-0.0
rpd - type of stenosis,-0.000803219499804972
rpl - type of stenosis,0.00017994474298993937
stenosis type 1 count,0.0
stenosis type 2 count,-0.0028801486699726086
max cta type,0.0022919270585009554
max high risk cta type,0.0
sis,-0.0
PET CTA PCA1,0.00336123398425747
