,0
lm - type of stenosis,0.001388271762851775
lada - type of stenosis,-0.00027038110937904037
ladb - type of stenosis,0.0
ladc - type of stenosis,0.0
d1 - type of stenosis,0.0
d2 - type of stenosis,-0.00013708945040649586
lcxa - type of stenosis,0.0
lcxb - type of stenosis,0.0009128312063020666
lcxc -type of stenosis,0.0003680160305385307
lpd - type of stenosis,-0.00042875557565473694
lom1 - type of stenosis,0.0
lom2 - type of stenosis,-0.0
im - type of stenosis,-0.0
lpl - type of stenosis,-0.0
rcaa - type of stenosis,6.411283689104403e-05
rcab - type of stenosis,0.0007357596602534916
rcac - type of stenosis,0.0
rpd - type of stenosis,-0.0004061757449438843
rpl - type of stenosis,0.0003709924120402955
str_seg_1,0.0006632513202763477
str_seg_4,0.0
str_seg_5,-0.0
str_seg_6,-0.0
str_seg_7,0.0
str_seg_8,-0.0
str_seg_9,0.0
str_seg_10,0.0017782016636628984
str_seg_11,-0.0
str_seg_12,-0.0
str_seg_13,-0.0
str_seg_14,-0.0
str_seg_15,0.0
str_seg_16,-0.0008343729181060555
str_seg_17,-0.0
stenosis type 1 count,-0.0
stenosis type 2 count,-0.0
max cta type,0.0
max high risk cta type,-0.0
sis,-0.0012456880600733686
max_str_seg,-0.0
max_lad_str,0.0
max_lcx_str,-0.0
max_rca_str,0.0
non-zero pet segs,0.0
