,0
sex,-0.0015512589697156483
age,0.0027192124064276224
bmi,-0.0
smoking,0.0007786868032634136
diabetes,0.0006574144551961675
hypertension,-8.907285300424472e-05
dyslipidemia,-0.0004793892785408782
chestpain,0.0
dyspnea,-0.0011129652306349895
lm - type of stenosis,0.0003296766399224374
lada - type of stenosis,-0.000594031485886062
ladb - type of stenosis,0.0
ladc - type of stenosis,-0.0
d1 - type of stenosis,-0.00012438824561717294
d2 - type of stenosis,0.0
lcxa - type of stenosis,9.432672589663657e-05
lcxb - type of stenosis,0.0005961654106591949
lcxc -type of stenosis,0.0
lpd - type of stenosis,-0.0
lom1 - type of stenosis,0.0
lom2 - type of stenosis,0.0
im - type of stenosis,0.0
lpl - type of stenosis,-0.00041873282436376573
rcaa - type of stenosis,-0.0
rcab - type of stenosis,0.0003671393282423076
rcac - type of stenosis,-0.0
rpd - type of stenosis,0.0
rpl - type of stenosis,0.0007759997339181116
str_seg_1,0.0003859411000879872
str_seg_4,0.0
str_seg_5,-0.0
str_seg_6,-0.0
str_seg_7,0.0
str_seg_8,-0.0
str_seg_9,0.0
str_seg_10,0.00022106864623901986
str_seg_11,-0.00028129950550951114
str_seg_12,-0.0
str_seg_13,-0.0
str_seg_14,-0.0
str_seg_15,0.0020340613396874195
str_seg_16,-0.0
str_seg_17,-0.0007117679888366229
stenosis type 1 count,-0.0
stenosis type 2 count,-0.0
max cta type,0.0
max high risk cta type,-0.0
sis,-0.0
max_str_seg,0.0
max_lad_str,0.0
max_lcx_str,0.0
max_rca_str,0.00028682846996246124
non-zero pet segs,0.0
