,0
lm - type of stenosis,0.0005191331659054998
lada - type of stenosis,-0.0005590399214542674
ladb - type of stenosis,0.0010162045848844804
ladc - type of stenosis,-0.0
d1 - type of stenosis,0.0
d2 - type of stenosis,-0.0
lcxa - type of stenosis,0.0007405807518993431
lcxb - type of stenosis,0.00024413430248737233
lcxc -type of stenosis,-0.0
lpd - type of stenosis,-0.00014624689467407264
lom1 - type of stenosis,-0.00018723141481577043
lom2 - type of stenosis,-0.00033764285830589086
im - type of stenosis,-0.00033174034055453376
lpl - type of stenosis,-0.0006002231216415244
rcaa - type of stenosis,-0.0
rcab - type of stenosis,0.0007753157571045875
rcac - type of stenosis,0.0001504674303734927
rpd - type of stenosis,-0.00031866187861235684
rpl - type of stenosis,0.00035895336856280405
str_seg_1,-0.00249977578757827
str_seg_4,-0.00030768311702581927
str_seg_5,-0.0005721542459349274
str_seg_6,-0.0
str_seg_7,0.0
str_seg_8,0.002557197471833414
str_seg_9,0.0
str_seg_10,-0.00017429008569839083
str_seg_11,-0.0
str_seg_12,-0.0
str_seg_13,0.0
str_seg_14,0.0
str_seg_15,0.0
str_seg_16,-0.00021371909683377284
str_seg_17,0.0
stenosis type 1 count,0.0
stenosis type 2 count,-0.00011495122941422426
max cta type,0.0017474199200933163
max high risk cta type,-0.0
sis,-0.0007186974759061047
max_str_seg,0.0027504169631514747
max_lad_str,0.0033695379305747294
max_lcx_str,-0.00036918976091581925
max_rca_str,0.0008608453528939856
non-zero pet segs,-0.0
