,0
lm - type of stenosis,0.001165327766294143
lada - type of stenosis,-0.0
ladb - type of stenosis,0.0
ladc - type of stenosis,-0.00014474718033137025
d1 - type of stenosis,-0.0
d2 - type of stenosis,0.0
lcxa - type of stenosis,2.2880087127386358e-05
lcxb - type of stenosis,6.561869730253408e-05
lcxc -type of stenosis,0.0
lpd - type of stenosis,-0.00012010422572566436
lom1 - type of stenosis,-0.00012514698434293642
lom2 - type of stenosis,-0.0
im - type of stenosis,-0.0004453874575128562
lpl - type of stenosis,-0.0005481582192525473
rcaa - type of stenosis,0.0001487022206718211
rcab - type of stenosis,0.0008957436863022627
rcac - type of stenosis,0.00020913616115757785
rpd - type of stenosis,6.135866691348478e-05
rpl - type of stenosis,2.5831074769455886e-05
str_seg_1,0.0
str_seg_4,0.0
str_seg_5,-0.0
str_seg_6,0.0
str_seg_7,0.0
str_seg_8,-0.0
str_seg_9,0.00013347202979502646
str_seg_10,0.0016933125539545224
str_seg_11,0.0
str_seg_12,-0.0
str_seg_13,-0.0
str_seg_14,-9.274605880172581e-05
str_seg_15,0.0009810220077205573
str_seg_16,-0.00019844041872660176
str_seg_17,-0.0
stenosis type 1 count,-0.0
stenosis type 2 count,0.0
max cta type,0.0
max high risk cta type,-0.00034395652133723003
sis,-0.0
max_str_seg,-0.0
max_lad_str,-0.0
max_lcx_str,0.0
max_rca_str,-0.0
non-zero pet segs,0.0
PET PCA1,0.00011557586780531566
PET PCA2,0.0005446555635442044
