,0
sex,-0.0
age,0.0
bmi,-0.0003573776565777721
smoking,5.017696212449214e-05
diabetes,0.0
hypertension,-0.0
dyslipidemia,-0.0
chestpain,0.0
dyspnea,-0.0
lm - type of stenosis,-0.0
lada - type of stenosis,0.0
ladb - type of stenosis,-0.0
ladc - type of stenosis,-0.00017396680968116023
d1 - type of stenosis,0.0003259283294651384
d2 - type of stenosis,-0.0001499466773276531
lcxa - type of stenosis,0.0
lcxb - type of stenosis,-3.190316943719139e-05
lcxc -type of stenosis,3.423772712097436e-05
lpd - type of stenosis,0.0
lom1 - type of stenosis,0.0
lom2 - type of stenosis,-0.0
im - type of stenosis,-0.0
lpl - type of stenosis,0.0001085651949019887
rcaa - type of stenosis,0.00023019968099087393
rcab - type of stenosis,-0.0
rcac - type of stenosis,-9.288751713408402e-05
rpd - type of stenosis,0.0
rpl - type of stenosis,-0.0
str_seg_1,-0.0
str_seg_4,0.0
str_seg_5,0.0
str_seg_6,0.0
str_seg_7,-0.0
str_seg_8,-0.0
str_seg_9,0.0
str_seg_10,0.0006557887155290104
str_seg_11,0.0
str_seg_12,-0.0005434422452979506
str_seg_13,-0.0
str_seg_14,-0.0
str_seg_15,0.0
str_seg_16,-0.0
str_seg_17,0.0
stenosis type 1 count,0.0
stenosis type 2 count,-3.6198579466934087e-06
max cta type,0.0
max high risk cta type,0.0
sis,-0.0
max_str_seg,0.0
max_lad_str,-0.0
max_lcx_str,0.000806546588621966
max_rca_str,0.0004830771555574538
non-zero pet segs,0.0
PCA1,0.0
PCA2,0.0
