,0
lm - type of stenosis,0.0003311160247440869
lada - type of stenosis,-0.0006274502420587891
ladb - type of stenosis,0.000558385218516295
ladc - type of stenosis,-0.00025496412350371685
d1 - type of stenosis,0.0
d2 - type of stenosis,0.00035483145044116804
lcxa - type of stenosis,0.0
lcxb - type of stenosis,0.0002658210075936518
lcxc -type of stenosis,-0.0010950812537057542
lpd - type of stenosis,-0.00029831217025026935
lom1 - type of stenosis,-0.001049769940771967
lom2 - type of stenosis,-0.0
im - type of stenosis,-0.0
lpl - type of stenosis,-0.0007857742686769619
rcaa - type of stenosis,0.0
rcab - type of stenosis,0.0017098945062566412
rcac - type of stenosis,-0.0
rpd - type of stenosis,-0.00025580639574233666
rpl - type of stenosis,0.0008027169358157066
str_seg_1,-0.0024688148636506707
str_seg_4,-0.0025041703552413446
str_seg_5,-0.0
str_seg_6,-0.0
str_seg_7,0.0
str_seg_8,0.0002477091225869773
str_seg_9,0.0
str_seg_10,-0.0
str_seg_11,-0.0
str_seg_12,0.0
str_seg_13,0.0
str_seg_14,0.0
str_seg_15,0.0
str_seg_16,-0.0
str_seg_17,0.0
stenosis type 1 count,0.0
stenosis type 2 count,-0.0
max cta type,0.0013031431730784304
max high risk cta type,0.0
sis,-0.0009146505030360628
max_str_seg,0.0021878040696344985
max_lad_str,0.002135393832774771
max_lcx_str,-0.0
max_rca_str,0.0013243180009037884
non-zero pet segs,-0.0003863862702928414
PET PCA1,0.001349629541794803
PET PCA2,-5.141895616212614e-05
