,0
sex,-0.0011820927585336123
age,0.0031009252084789945
bmi,-0.00016169453352718818
smoking,0.0011146753345760091
diabetes,0.0011535120572959813
hypertension,-0.0007206296126063307
dyslipidemia,-0.0
chestpain,0.0
dyspnea,-0.0006185202437575248
str_seg_1,0.0
str_seg_4,0.0
str_seg_5,-0.0
str_seg_6,0.0
str_seg_7,0.0
str_seg_8,-0.0
str_seg_9,0.0
str_seg_10,0.0016324320206563003
str_seg_11,-0.0
str_seg_12,-0.0
str_seg_13,-0.0
str_seg_14,-0.0
str_seg_15,0.001320121665252215
str_seg_16,-0.0018661869394695375
str_seg_17,-0.0
max_str_seg,0.0004829493626286517
max_lad_str,0.0
max_lcx_str,0.0
max_rca_str,0.0
non-zero pet segs,0.0
