,0
sex,-0.00021804446166985445
age,0.0009465350730182587
bmi,-0.0007788164495687867
smoking,0.0
diabetes,0.0004904972731095189
hypertension,-0.0003981534587026806
dyslipidemia,0.0
chestpain,-7.70589404776249e-05
dyspnea,-0.00043339119979808404
str_seg_1,-0.0
str_seg_4,0.0
str_seg_5,-0.0
str_seg_6,0.0
str_seg_7,-0.0
str_seg_8,-0.0
str_seg_9,0.0
str_seg_10,0.0005841792357265479
str_seg_11,0.0
str_seg_12,-0.0
str_seg_13,-0.00040218457549355476
str_seg_14,0.0
str_seg_15,0.0012667959604317131
str_seg_16,-0.0
str_seg_17,-0.0
max_str_seg,0.0
max_lad_str,-0.0
max_lcx_str,0.0
max_rca_str,0.0005451480036296494
non-zero pet segs,-0.0
