,0
sex,-0.0
age,0.0031171782750169913
bmi,-0.0005820709859665912
smoking,0.001219806704019459
diabetes,0.0015759103764966126
hypertension,-0.0
dyslipidemia,-0.0003472895261638595
chestpain,-0.0
dyspnea,-0.001028667552912076
str_seg_1,0.0
str_seg_4,0.0
str_seg_5,-8.334077377535271e-05
str_seg_6,0.0
str_seg_7,0.0
str_seg_8,-0.0
str_seg_9,-0.0
str_seg_10,0.0010241043748699715
str_seg_11,0.0
str_seg_12,0.0
str_seg_13,-0.0
str_seg_14,-0.0
str_seg_15,0.0017614988258734508
str_seg_16,-0.0
str_seg_17,-0.0008443405537737524
max_str_seg,0.0
max_lad_str,0.0
max_lcx_str,0.0
max_rca_str,0.0
non-zero pet segs,-0.0
PCA1,0.00040381790797702375
PCA2,0.0
