,0
sex,-0.0
age,0.001045258365850695
bmi,-0.0009766140320621153
smoking,0.0014996762093237785
diabetes,0.0011996169253061853
hypertension,-0.0006640480421983233
dyslipidemia,-0.0005546906464621714
chestpain,0.0012615769089748988
dyspnea,-0.0009525218317126075
str_seg_1,-0.0036687176841333794
str_seg_4,-0.0007885792589862597
str_seg_5,-0.0
str_seg_6,-3.755038161433486e-05
str_seg_7,0.0
str_seg_8,4.626679342674854e-05
str_seg_9,-0.0
str_seg_10,-0.0005297688063070737
str_seg_11,-0.0
str_seg_12,-0.0
str_seg_13,0.0
str_seg_14,0.0
str_seg_15,-0.0
str_seg_16,-0.0
str_seg_17,-0.0003973969073954894
max_str_seg,0.0011190852732837534
max_lad_str,0.0027077236165111433
max_lcx_str,-0.00044727701084738304
max_rca_str,0.0020553146186969187
non-zero pet segs,-0.0
PET PCA1,0.0017784789879123034
PET PCA2,-0.0002612902029184986
