,0
lm - type of stenosis,0.0018695813945152902
lada - type of stenosis,-0.0001378879056269099
ladb - type of stenosis,8.920959791005878e-05
ladc - type of stenosis,-0.0005502462544557969
d1 - type of stenosis,6.938594164281343e-05
d2 - type of stenosis,-4.229124134191461e-05
lcxa - type of stenosis,0.0002627545702204664
lcxb - type of stenosis,0.0011285350400899526
lcxc -type of stenosis,3.0554875449337974e-05
lpd - type of stenosis,-0.0004786859134102122
lom1 - type of stenosis,-8.220467595544128e-05
lom2 - type of stenosis,1.115660914633624e-06
im - type of stenosis,0.0005169628997437676
lpl - type of stenosis,-0.00020380454355846365
rcaa - type of stenosis,0.00143883738588819
rcab - type of stenosis,0.0009285683453386107
rcac - type of stenosis,-0.000827642796601097
rpd - type of stenosis,-6.755698599955617e-05
rpl - type of stenosis,-7.105678481624257e-05
stenosis type 1 count,-0.00034246951857382736
stenosis type 2 count,-2.856988771296146e-05
max cta type,0.0008225469613454834
max high risk cta type,-0.0017286104894187458
sis,-0.0007637230735627363
