,0
lm - type of stenosis,0.00035674860043001733
lada - type of stenosis,-0.00025347746431974726
ladb - type of stenosis,3.800021788532789e-05
ladc - type of stenosis,-0.0003077163139712797
d1 - type of stenosis,2.614647548346698e-05
d2 - type of stenosis,-0.0001746538137836514
lcxa - type of stenosis,0.0006583047887298076
lcxb - type of stenosis,-0.00016246414479365482
lcxc -type of stenosis,-0.00021132855924134545
lpd - type of stenosis,-0.00019096445794253546
lom1 - type of stenosis,6.232918244356746e-05
lom2 - type of stenosis,0.00038192937820409064
im - type of stenosis,5.450220116678542e-05
lpl - type of stenosis,0.000493406783229376
rcaa - type of stenosis,0.0011610707755716116
rcab - type of stenosis,-8.898809912593584e-05
rcac - type of stenosis,-0.0003159373657915524
rpd - type of stenosis,0.00038953999094984925
rpl - type of stenosis,-0.00022368976386979736
stenosis type 1 count,8.210491923608918e-06
stenosis type 2 count,-0.000338336807718317
max cta type,0.0012728063971373896
max high risk cta type,-0.0011817971057884965
sis,-0.000523833233065204
