,0
sex,-0.0017044031727262584
age,0.0030196074133770558
bmi,-0.001722570830763449
smoking,0.0012273677634270955
diabetes,0.0013020281932622246
hypertension,-0.0009812316876105294
dyslipidemia,-0.001283856072850862
chestpain,0.0006377580578321387
dyspnea,-0.001987416697350302
lm - type of stenosis,0.0010635948241567532
lada - type of stenosis,1.9272474076854763e-05
ladb - type of stenosis,0.00020150522932604076
ladc - type of stenosis,-0.000541906642645417
d1 - type of stenosis,-0.0003420353317063065
d2 - type of stenosis,-0.0006389588569999203
lcxa - type of stenosis,-7.508254235973745e-05
lcxb - type of stenosis,0.0009141352543834353
lcxc -type of stenosis,0.0004159124799456036
lpd - type of stenosis,-0.0004773765426610671
lom1 - type of stenosis,-0.0005718568439391586
lom2 - type of stenosis,-0.0001910816321888699
im - type of stenosis,0.00017662312854984183
lpl - type of stenosis,0.00011998512543816202
rcaa - type of stenosis,0.0008983037729774713
rcab - type of stenosis,0.0010176042217219408
rcac - type of stenosis,-0.0001353207500712144
rpd - type of stenosis,-0.00028914511331980464
rpl - type of stenosis,0.000634719971190882
stenosis type 1 count,-0.00013344388022310333
stenosis type 2 count,-0.00022345480555681086
max cta type,0.0011911023110727284
max high risk cta type,-0.0022805335476437935
sis,-0.0006371193573352737
