,0
sex,-0.00021754360970751744
age,0.0009448648972540211
bmi,-0.0012944086197417127
smoking,0.0005507129590054967
diabetes,0.001020781341613611
hypertension,-0.00034635055777815856
dyslipidemia,0.0002123439059836186
chestpain,-0.00044058617185402935
dyspnea,-0.001019326622097439
lm - type of stenosis,-0.00026724738176228885
lada - type of stenosis,-0.000357227976073108
ladb - type of stenosis,0.0003928214238996313
ladc - type of stenosis,-0.0003094811560699835
d1 - type of stenosis,0.0005069805197059092
d2 - type of stenosis,-0.00036635970328581795
lcxa - type of stenosis,1.2992561112169634e-06
lcxb - type of stenosis,-7.56047547174207e-05
lcxc -type of stenosis,0.00015656965027872286
lpd - type of stenosis,-0.00026844603205964155
lom1 - type of stenosis,-0.00035297789690230154
lom2 - type of stenosis,0.00010081818351628216
im - type of stenosis,0.00025664960192879475
lpl - type of stenosis,0.0003848567945798132
rcaa - type of stenosis,0.001293909534065871
rcab - type of stenosis,0.00015285399895198577
rcac - type of stenosis,1.684166709082083e-05
rpd - type of stenosis,0.00014020221418842112
rpl - type of stenosis,7.318140239595681e-05
stenosis type 1 count,1.375156783122708e-06
stenosis type 2 count,-0.00035136969958432984
max cta type,0.0003643630441003257
max high risk cta type,-0.0002478817892614858
sis,-0.0005590058909519839
