,0
sex,-0.002144175977203458
age,0.003401604231301391
bmi,-0.000682957520185572
smoking,0.0016270650887984736
diabetes,0.0007275504023835561
hypertension,-0.00034287111244674426
dyslipidemia,-5.983916966057683e-05
chestpain,0.00045524598803165585
dyspnea,-0.0012395229584669168
lm - type of stenosis,0.000768386995886624
lada - type of stenosis,-0.001089095859317608
ladb - type of stenosis,0.00042545348002130537
ladc - type of stenosis,-0.0006912853383121816
d1 - type of stenosis,-0.0005173054940000114
d2 - type of stenosis,4.0644168482976335e-05
lcxa - type of stenosis,0.0002444476364779958
lcxb - type of stenosis,0.0009750505395811154
lcxc -type of stenosis,-0.0004022506431470666
lpd - type of stenosis,-0.00037606510102836143
lom1 - type of stenosis,0.00018410985811438986
lom2 - type of stenosis,0.0007967003121222725
im - type of stenosis,-0.0002390863387374096
lpl - type of stenosis,9.339705544412015e-05
rcaa - type of stenosis,-3.5891445564992426e-05
rcab - type of stenosis,0.0004881838065240752
rcac - type of stenosis,-0.00026124008034428205
rpd - type of stenosis,0.00010895215386775923
rpl - type of stenosis,0.00045693133031587897
stenosis type 1 count,0.00018141439931484838
stenosis type 2 count,-0.0005174733679761072
max cta type,0.0011264683110978665
max high risk cta type,-0.0020131830185485832
sis,-0.000447151030682705
PET CTA PCA1,0.0005264077408435252
