,0
sex,-0.0011529423530606917
age,0.0020160899642379325
bmi,-0.0010141334844156317
smoking,-0.00039966737389165156
diabetes,0.0008164451949137964
hypertension,-1.3849829600219132e-05
dyslipidemia,0.0002436446130644226
chestpain,-9.905040559829628e-05
dyspnea,-0.0010485068631840302
lm - type of stenosis,0.0005815512014570901
lada - type of stenosis,-0.0013562341159225832
ladb - type of stenosis,6.472181330051039e-05
ladc - type of stenosis,-0.000711762396240045
d1 - type of stenosis,5.090253041042054e-05
d2 - type of stenosis,-0.00010528686721650601
lcxa - type of stenosis,0.0001190589721294254
lcxb - type of stenosis,-0.0004254246413887055
lcxc -type of stenosis,0.00021509278651353492
lpd - type of stenosis,-6.262741811393435e-05
lom1 - type of stenosis,0.000297661326487158
lom2 - type of stenosis,-0.00027008916308810264
im - type of stenosis,0.00011762703978243877
lpl - type of stenosis,-0.00027424624954509223
rcaa - type of stenosis,-0.0006036733281191484
rcab - type of stenosis,0.0018996521365434488
rcac - type of stenosis,-0.0002976899451606361
rpd - type of stenosis,0.0005913528553165855
rpl - type of stenosis,0.00024133707464814882
stenosis type 1 count,0.0003782450893014022
stenosis type 2 count,-0.000937205418136745
max cta type,0.0006761572373392245
max high risk cta type,-0.00012395754899903875
sis,-0.0007056776405135742
CTA PCA1,0.00031702562785310823
