,0
sex,-0.0016883816338722733
age,-0.0007006667777901601
bmi,-0.0025731572652465144
smoking,0.0016140893782375075
diabetes,0.0019564873446485634
hypertension,-0.00021385066501155978
dyslipidemia,-0.001079219974234191
chestpain,0.0021554666952769037
dyspnea,-0.001309699503146931
lm - type of stenosis,-0.0007552132944262469
lada - type of stenosis,-0.0008985425144310843
ladb - type of stenosis,0.0013745158089908335
ladc - type of stenosis,4.388557971407143e-05
d1 - type of stenosis,-0.00023354887727036617
d2 - type of stenosis,-0.000349589169994143
lcxa - type of stenosis,0.00038645615681217216
lcxb - type of stenosis,0.0009140370236184466
lcxc -type of stenosis,-0.0017593371682708536
lpd - type of stenosis,0.00015263155451048605
lom1 - type of stenosis,-0.0015554939114849704
lom2 - type of stenosis,0.00016987302038121198
im - type of stenosis,0.0008900643870233089
lpl - type of stenosis,-0.0003149106325294697
rcaa - type of stenosis,-0.0003253665947780216
rcab - type of stenosis,0.0017664590062320966
rcac - type of stenosis,-0.0004934896489578453
rpd - type of stenosis,-0.0003615403693472762
rpl - type of stenosis,0.0005151600590835748
stenosis type 1 count,0.0005684300854586676
stenosis type 2 count,-0.001568242415553078
max cta type,0.0033087365251020864
max high risk cta type,0.0016357693863522926
sis,-0.001316043937890651
PET CTA PCA1,0.001352864600783721
