,0
lm - type of stenosis,-0.0019420146357998825
lada - type of stenosis,-0.003972594714170737
ladb - type of stenosis,-0.002573876448928733
ladc - type of stenosis,-0.002513582356166607
d1 - type of stenosis,-0.002520593793351742
d2 - type of stenosis,-0.0016476430722618853
lcxa - type of stenosis,-0.0016932592983041252
lcxb - type of stenosis,-0.0018602073530311132
lcxc -type of stenosis,-0.0026730160018699515
lpd - type of stenosis,-0.0009038500052608936
lom1 - type of stenosis,-0.001805259094687098
lom2 - type of stenosis,-0.0011672420830645762
im - type of stenosis,-0.0009781564225690412
lpl - type of stenosis,-0.001472938677152873
rcaa - type of stenosis,-0.0023435959254019595
rcab - type of stenosis,-0.00222384603154447
rcac - type of stenosis,-0.002826499712767271
rpd - type of stenosis,-0.0012329927109875588
rpl - type of stenosis,-0.001709705854600397
stenosis type 1 count,0.0038771125028854102
stenosis type 2 count,-0.003159715015606048
max cta type,-0.0028914805431225557
max high risk cta type,-0.004467320126715817
sis,0.0030760908839901186
CTA PCA1,0.012826653623983077
