,0
lm - type of stenosis,-0.0021924627405074445
lada - type of stenosis,-0.006476426087669802
ladb - type of stenosis,-0.0012567351514395104
ladc - type of stenosis,-0.0020324906005335028
d1 - type of stenosis,-0.0024098059168573037
d2 - type of stenosis,-0.0006746356192704258
lcxa - type of stenosis,-0.001116832664611863
lcxb - type of stenosis,-0.0025380415476097054
lcxc -type of stenosis,-0.003431679875829441
lpd - type of stenosis,-0.0011084221562664618
lom1 - type of stenosis,-0.0026487383207359685
lom2 - type of stenosis,-0.0001286391911243936
im - type of stenosis,-0.0016072943642123521
lpl - type of stenosis,-0.001328777544137606
rcaa - type of stenosis,-0.0029176709142291913
rcab - type of stenosis,-0.0010395440569079578
rcac - type of stenosis,-0.0028268317682746775
rpd - type of stenosis,-0.0023986261330893864
rpl - type of stenosis,-3.14289082249442e-05
stenosis type 1 count,0.004443295018492581
stenosis type 2 count,-0.0044266101578921855
max cta type,0.00016123292334237793
max high risk cta type,-0.0007889861548644343
sis,0.0022372308707884103
PET CTA PCA1,0.013358124447882137
