,0
lm - type of stenosis,-0.001212999841360966
lada - type of stenosis,-0.005880379024665731
ladb - type of stenosis,-0.0002977039842684726
ladc - type of stenosis,-0.0023468203221722814
d1 - type of stenosis,-0.00214608175631221
d2 - type of stenosis,-0.0009248953097548155
lcxa - type of stenosis,-0.0022424352876806762
lcxb - type of stenosis,-0.0017666093905101942
lcxc -type of stenosis,-0.0033435701336536013
lpd - type of stenosis,-0.0016739770274690007
lom1 - type of stenosis,-0.002386653224970464
lom2 - type of stenosis,-0.0006588609005701318
im - type of stenosis,-0.0012864802193758072
lpl - type of stenosis,-0.0003768009683422141
rcaa - type of stenosis,-0.001961298387392881
rcab - type of stenosis,-0.0014726467439110046
rcac - type of stenosis,-0.003121748308235995
rpd - type of stenosis,-0.0024767511878872805
rpl - type of stenosis,0.00018649894499967224
stenosis type 1 count,0.004386740004580813
stenosis type 2 count,-0.004929309761264024
max cta type,0.0001887368327330301
max high risk cta type,-0.0005295776877050655
sis,0.0013147685743061812
PET CTA PCA1,0.012677477027384438
