,0
lm - type of stenosis,0.0009519765715759144
lada - type of stenosis,-0.0012546065146398775
ladb - type of stenosis,0.002637907243023552
ladc - type of stenosis,-0.00030751300065616483
d1 - type of stenosis,-0.000864519500779241
d2 - type of stenosis,0.0009326203441878496
lcxa - type of stenosis,0.0009179546967742461
lcxb - type of stenosis,0.001853181831101765
lcxc -type of stenosis,-0.0012690015214581634
lpd - type of stenosis,-0.0007015489492587451
lom1 - type of stenosis,-0.0011127468014002799
lom2 - type of stenosis,0.0006856701251748474
im - type of stenosis,-0.00033068069090673
lpl - type of stenosis,-0.00025307247596346256
rcaa - type of stenosis,0.0011071483494737766
rcab - type of stenosis,0.0015651323724619939
rcac - type of stenosis,0.0002591026526368033
rpd - type of stenosis,-0.0013871646473707798
rpl - type of stenosis,0.0014274363485757978
stenosis type 1 count,-0.00017925869082387422
stenosis type 2 count,-0.0008184889006842952
max cta type,0.003541082494758057
max high risk cta type,0.001543754367845249
sis,-0.001684719012881751
