,0
lm - type of stenosis,-6.620092011199427e-05
lada - type of stenosis,-0.002236771349021741
ladb - type of stenosis,0.0006837874068953238
ladc - type of stenosis,0.00048080611811811356
d1 - type of stenosis,-0.00014913284399482177
d2 - type of stenosis,0.0003060688413077511
lcxa - type of stenosis,0.0010925318633155012
lcxb - type of stenosis,0.0008219820137586315
lcxc -type of stenosis,-0.0009095198384697301
lpd - type of stenosis,7.497282007021056e-06
lom1 - type of stenosis,-0.0011497327075851499
lom2 - type of stenosis,0.0006255310586403762
im - type of stenosis,0.00033056575665428415
lpl - type of stenosis,0.0001393341367329455
rcaa - type of stenosis,0.00016526915826957936
rcab - type of stenosis,0.0012952599388413681
rcac - type of stenosis,0.0005782508938666297
rpd - type of stenosis,-0.000539001317557321
rpl - type of stenosis,0.0007510077368493904
stenosis type 1 count,0.00038053458028279184
stenosis type 2 count,-0.0013101976276038395
max cta type,0.005141763437533928
max high risk cta type,0.0033822498403018536
sis,-0.0012973439060586004
