,0
lm - type of stenosis,0.0018656544915312309
lada - type of stenosis,-0.0011605197823621014
ladb - type of stenosis,0.0008590939420680974
ladc - type of stenosis,-0.0006993827479816791
d1 - type of stenosis,-0.00014564858743900565
d2 - type of stenosis,-0.00040508591088207876
lcxa - type of stenosis,-0.0003066299012051602
lcxb - type of stenosis,0.001118645019045383
lcxc -type of stenosis,0.0001692209975363604
lpd - type of stenosis,-0.0003753665304121592
lom1 - type of stenosis,-0.000785850585321346
lom2 - type of stenosis,-0.000307037597624829
im - type of stenosis,-0.0009379355069857988
lpl - type of stenosis,8.316958044603351e-06
rcaa - type of stenosis,0.000626848260482874
rcab - type of stenosis,0.0008648669338997458
rcac - type of stenosis,-0.0006745230638240084
rpd - type of stenosis,-0.0002927222886565366
rpl - type of stenosis,0.0007721445907677039
stenosis type 1 count,-4.714094815165811e-05
stenosis type 2 count,-7.941814890164707e-05
max cta type,0.0015428352513245363
max high risk cta type,-0.0009705053968752739
sis,-0.00022583835792399498
PCA1,0.0003336353879948014
PCA2,0.0002302531155981113
