,0
lm - type of stenosis,0.00016188992963138565
lada - type of stenosis,-0.00014261841534420327
ladb - type of stenosis,-0.0002914500349257999
ladc - type of stenosis,-0.0010989652716225558
d1 - type of stenosis,0.00018312460350260003
d2 - type of stenosis,-0.0008080879536872676
lcxa - type of stenosis,0.0001168690369506569
lcxb - type of stenosis,-0.0012610469520840445
lcxc -type of stenosis,0.001279456138731277
lpd - type of stenosis,-0.0007428032016884589
lom1 - type of stenosis,-0.00022871144355635786
lom2 - type of stenosis,6.814307490203258e-05
im - type of stenosis,-0.0001212319132315631
lpl - type of stenosis,-1.9283070557319473e-05
rcaa - type of stenosis,0.0010658098921349805
rcab - type of stenosis,0.0007657857316134979
rcac - type of stenosis,-6.080865121027696e-05
rpd - type of stenosis,0.0009528657317540967
rpl - type of stenosis,-0.0002553430338749896
stenosis type 1 count,0.00017739827089559567
stenosis type 2 count,-0.0004916328867676373
max cta type,0.0025520516971179862
max high risk cta type,-0.0026493042858062804
sis,-0.000414248883129128
PCA1,0.0005582643307235738
PCA2,0.0005625443567324328
