,0
sex,-0.0012090295864915048
age,0.003762149417256859
bmi,-0.0006240063507661913
smoking,0.0009752810228817703
diabetes,0.0012681061258857495
hypertension,-0.0009525493291449095
dyslipidemia,-0.00025506127497210585
chestpain,0.00040552931868727195
dyspnea,-0.0014983032214725587
lm - type of stenosis,0.0011672218030328902
lada - type of stenosis,-0.001958302020665249
ladb - type of stenosis,0.0002913824270154502
ladc - type of stenosis,-0.0005005999767133707
d1 - type of stenosis,5.438551863218639e-05
d2 - type of stenosis,-0.0001294566671205119
lcxa - type of stenosis,0.00014552432047667093
lcxb - type of stenosis,0.0002520261964397576
lcxc -type of stenosis,0.0005748311877734226
lpd - type of stenosis,-7.735134503693023e-05
lom1 - type of stenosis,-0.00017721934968270998
lom2 - type of stenosis,-0.00035914407062311786
im - type of stenosis,-6.68262576692175e-05
lpl - type of stenosis,-0.0007533830373385799
rcaa - type of stenosis,0.00039137697969870755
rcab - type of stenosis,0.00033701854698832244
rcac - type of stenosis,-0.0005790838982104847
rpd - type of stenosis,-0.0006018343681486758
rpl - type of stenosis,0.00033215268360006355
stenosis type 1 count,0.0004025770294790616
stenosis type 2 count,-0.0007756593806094484
max cta type,0.0014176712456451625
max high risk cta type,-0.0008057775165162968
sis,-0.00039632766194067326
PCA1,0.0004964092059742995
PCA2,0.0010981285158723334
