,0
sex,-0.0005665464609274434
age,0.0016326713996172603
bmi,-0.0007395690370472406
smoking,0.001705667916180974
diabetes,0.0007859772961078075
hypertension,-0.00012879672401887185
dyslipidemia,-0.001034133278194208
chestpain,0.00012397575104001533
dyspnea,-0.001242548459223621
lm - type of stenosis,0.0011108532292912168
lada - type of stenosis,-0.0017213629319516427
ladb - type of stenosis,0.0005598096001744122
ladc - type of stenosis,-0.001119022355597679
d1 - type of stenosis,-0.0009808758559503518
d2 - type of stenosis,-0.0003043845514612043
lcxa - type of stenosis,5.5415831298916555e-05
lcxb - type of stenosis,0.00019094176385130727
lcxc -type of stenosis,0.0005255012638510109
lpd - type of stenosis,-0.000494173813406219
lom1 - type of stenosis,-0.0006461403373688604
lom2 - type of stenosis,-0.0004081171937798143
im - type of stenosis,-0.0004945768634465901
lpl - type of stenosis,9.23124173794379e-06
rcaa - type of stenosis,0.0004983141172520517
rcab - type of stenosis,0.0011815045100811228
rcac - type of stenosis,-0.00014916070568091086
rpd - type of stenosis,2.580049578685444e-05
rpl - type of stenosis,0.00016647331072022832
stenosis type 1 count,0.00028687701634674855
stenosis type 2 count,-0.00048460109247390037
max cta type,0.0022351886779648873
max high risk cta type,-0.0014044943254889284
sis,-0.00017346637127767695
PCA1,0.0005803002569993352
PCA2,0.0007834483071380279
