,0
sex,-0.0018960310392172335
age,0.0009026772940411468
bmi,-0.001641606151488187
smoking,0.0013731942608616187
diabetes,0.0009980407560758009
hypertension,-0.0008783440755386248
dyslipidemia,-0.000321462557506262
chestpain,0.002741957694986581
dyspnea,-0.0020042561283840736
lm - type of stenosis,0.0009453785536382885
lada - type of stenosis,-0.002162308207145232
ladb - type of stenosis,0.0012034549441125972
ladc - type of stenosis,-0.000303194591614088
d1 - type of stenosis,-0.000302514901755311
d2 - type of stenosis,0.0010244738933009453
lcxa - type of stenosis,0.0011781221250110735
lcxb - type of stenosis,0.00022286327657077367
lcxc -type of stenosis,-0.001589020993508441
lpd - type of stenosis,-0.0011445303390000311
lom1 - type of stenosis,-0.001146017859838489
lom2 - type of stenosis,-0.0002432262966880465
im - type of stenosis,-0.0002162793112541473
lpl - type of stenosis,0.0004148036254645397
rcaa - type of stenosis,0.0011874250679229032
rcab - type of stenosis,0.0008091603363019567
rcac - type of stenosis,-0.0007409972509057731
rpd - type of stenosis,-0.001435817951000237
rpl - type of stenosis,0.0011955818710993006
stenosis type 1 count,0.0003536762597995787
stenosis type 2 count,-0.0010159292344538054
max cta type,0.004570391286632348
max high risk cta type,-3.2743026434428866e-05
sis,-0.0008830800207337431
PET CTA PCA1,0.0015852729828646002
