,0
sex,-0.0020188422067408548
age,-0.002421527997275762
bmi,-0.0021718221974031315
smoking,0.0001401259640330466
diabetes,0.0013962330606463414
hypertension,-0.0001412652025116083
dyslipidemia,-0.00016742420060048826
chestpain,0.0031153389726150203
dyspnea,-0.001041168000609156
lm - type of stenosis,-0.0008271061013660092
lada - type of stenosis,-0.000543293197487015
ladb - type of stenosis,0.0009661151691909637
ladc - type of stenosis,0.00020946725590088216
d1 - type of stenosis,-0.00038782818625201175
d2 - type of stenosis,-0.0001298075573659962
lcxa - type of stenosis,0.0005432499846976947
lcxb - type of stenosis,0.000932186978410194
lcxc -type of stenosis,-0.002200518341118069
lpd - type of stenosis,-5.688772230033213e-05
lom1 - type of stenosis,-0.0010183121117517565
lom2 - type of stenosis,0.0008835400741282878
im - type of stenosis,0.00029305760141325074
lpl - type of stenosis,-0.00034252080676101386
rcaa - type of stenosis,0.00011109278603680005
rcab - type of stenosis,0.001423461892505244
rcac - type of stenosis,5.708464193474761e-05
rpd - type of stenosis,-0.0005686590467772529
rpl - type of stenosis,0.0008580919990268503
stenosis type 1 count,0.00040394349477914737
stenosis type 2 count,-0.0012839752934087545
max cta type,0.0035867688239254866
max high risk cta type,0.0013225767369556907
sis,-0.0012063306362416128
PET CTA PCA1,0.0012946018195559273
