,0
lm - type of stenosis,-0.0021169021655326483
lada - type of stenosis,-0.006067320806915124
ladb - type of stenosis,-0.0016751353683946923
ladc - type of stenosis,-0.00232092114773003
d1 - type of stenosis,-0.003207055880668843
d2 - type of stenosis,-0.0014867260796793333
lcxa - type of stenosis,-0.0027299328457269277
lcxb - type of stenosis,-0.002497420343635791
lcxc -type of stenosis,-0.0026476904301298886
lpd - type of stenosis,-0.0013240711163138878
lom1 - type of stenosis,-0.0028053674754618574
lom2 - type of stenosis,-0.0005194853757441098
im - type of stenosis,-0.0015966300212642871
lpl - type of stenosis,-0.0010935797820936996
rcaa - type of stenosis,-0.0023879554220743193
rcab - type of stenosis,-0.0010154138118728033
rcac - type of stenosis,-0.002910274332838276
rpd - type of stenosis,-0.0023309753295428204
rpl - type of stenosis,-0.0007508883686804831
stenosis type 1 count,0.004785674528958381
stenosis type 2 count,-0.004771185854845044
max cta type,-0.00025383897592998693
max high risk cta type,-0.001997452920567384
sis,0.002404053453683557
PET CTA PCA1,0.014207745020917362
