,0
lm - type of stenosis,-0.0016284689329638604
lada - type of stenosis,-0.003458042312957201
ladb - type of stenosis,0.0003745568638355388
ladc - type of stenosis,-0.00021006816505502314
d1 - type of stenosis,-0.0014370796167166053
d2 - type of stenosis,-0.000548180892481772
lcxa - type of stenosis,-0.0007040833925693656
lcxb - type of stenosis,-0.00012736630199406928
lcxc -type of stenosis,-0.0020269247457458082
lpd - type of stenosis,-0.0004223603855641675
lom1 - type of stenosis,-0.002054650429525981
lom2 - type of stenosis,0.0005930232646912616
im - type of stenosis,-0.0003059708758305993
lpl - type of stenosis,-0.0004421468665069898
rcaa - type of stenosis,-4.163746363759694e-05
rcab - type of stenosis,0.00014596005826251357
rcac - type of stenosis,-0.0015545044006626903
rpd - type of stenosis,-0.0014063765911162724
rpl - type of stenosis,0.0007225202421039642
stenosis type 1 count,0.002103631489918095
stenosis type 2 count,-0.002781314838272702
max cta type,0.003405264625008815
max high risk cta type,0.0014114551172423962
sis,-3.7148600716432995e-05
PET CTA PCA1,0.005313686097422142
