,0
lm - type of stenosis,0.002440381574307908
lada - type of stenosis,0.0006501584783415845
ladb - type of stenosis,0.0006395933381256819
ladc - type of stenosis,-0.0006584346790653948
d1 - type of stenosis,-0.0003264274499446306
d2 - type of stenosis,-2.0607962122901304e-06
lcxa - type of stenosis,0.0008147250816971363
lcxb - type of stenosis,5.5719277415745255e-05
lcxc -type of stenosis,-6.117464397289581e-05
lpd - type of stenosis,-0.00020821337912463415
lom1 - type of stenosis,0.0003042831606332165
lom2 - type of stenosis,-8.643875239922848e-05
im - type of stenosis,-3.448747442818511e-06
lpl - type of stenosis,-0.0007581259364964337
rcaa - type of stenosis,0.0013985804794353564
rcab - type of stenosis,-0.00030318933640041717
rcac - type of stenosis,-0.0002895168384878988
rpd - type of stenosis,-0.001343376315190849
rpl - type of stenosis,0.0010140945844467478
str_seg_1,0.001561667245885744
str_seg_4,5.75798921536413e-05
str_seg_5,-0.001446083080761614
str_seg_6,0.0018475625611386296
str_seg_7,0.0023207970842418634
str_seg_8,-0.004371538056362785
str_seg_9,0.002010380991702255
str_seg_10,0.0017797246205811783
str_seg_11,-0.00043815855440100006
str_seg_12,-0.0004953465252387476
str_seg_13,0.001660585089884991
str_seg_14,-0.0008357182524891989
str_seg_15,0.0028576517552892167
str_seg_16,-0.0026249550500349913
str_seg_17,-0.0015185594103065754
stenosis type 1 count,-0.00020432825353403089
stenosis type 2 count,-0.0004027035310653189
max cta type,0.002954288065224026
max high risk cta type,-0.0047921752164201475
sis,-0.0010723821686460851
max_str_seg,-0.0009876262984631038
max_lad_str,0.0025205619878940584
max_lcx_str,-0.0012599380591439737
max_rca_str,0.00027641395198311065
non-zero pet segs,-0.00043223036359472884
