,0
sex,-0.002008055746562706
age,0.0025047702457367364
bmi,-0.002638981965088833
smoking,0.002096851957053507
diabetes,0.0016562318400849395
hypertension,-0.0011447923026205082
dyslipidemia,-0.0013354436589705439
chestpain,0.002141284476082911
dyspnea,-0.0012836784395200266
lm - type of stenosis,0.001020306377267498
lada - type of stenosis,-0.003020127968615763
ladb - type of stenosis,0.0008153051437351765
ladc - type of stenosis,0.0005160114409252249
d1 - type of stenosis,-0.00011556497282363697
d2 - type of stenosis,0.0010714920007888708
lcxa - type of stenosis,0.0009561959404798738
lcxb - type of stenosis,0.0006414508126334256
lcxc -type of stenosis,-0.0011445681244147334
lpd - type of stenosis,-0.00013415156217096857
lom1 - type of stenosis,-0.0004022409688965183
lom2 - type of stenosis,2.8647923301793076e-05
im - type of stenosis,-0.0011522240125810559
lpl - type of stenosis,-0.0005705081150066346
rcaa - type of stenosis,-0.0006409610567330631
rcab - type of stenosis,7.841012213801658e-05
rcac - type of stenosis,0.0006689349345376157
rpd - type of stenosis,-0.0013057797721290597
rpl - type of stenosis,0.002256106493088186
str_seg_1,-0.0052349177004705465
str_seg_4,-0.004091210050983973
str_seg_5,0.000522554628556493
str_seg_6,0.000591911877820903
str_seg_7,0.005081659098855719
str_seg_8,0.0036639129420124746
str_seg_9,-0.0011461248644891277
str_seg_10,-0.0019472192700865532
str_seg_11,0.0021122746574647024
str_seg_12,0.0008487379990643267
str_seg_13,-0.004213282920894398
str_seg_14,0.0017546691816869857
str_seg_15,0.005159938097290254
str_seg_16,-0.0005236580266891277
str_seg_17,-0.003213426316260616
stenosis type 1 count,0.000398592136287736
stenosis type 2 count,-0.0008122349653654703
max cta type,0.002556446642371336
max high risk cta type,0.0013334698284887467
sis,-0.0004631720104898285
max_str_seg,0.004417020845019752
max_lad_str,0.0019081995055897222
max_lcx_str,-0.0014890721932952706
max_rca_str,0.0026118639418331
non-zero pet segs,-0.00125916130544751
