,0
lm - type of stenosis,0.0009467494477023494
lada - type of stenosis,-0.0014820957261616184
ladb - type of stenosis,0.0008589230748056529
ladc - type of stenosis,0.00037213479656437125
d1 - type of stenosis,0.0002149597816657693
d2 - type of stenosis,-7.451436737209626e-05
lcxa - type of stenosis,5.395824668471219e-05
lcxb - type of stenosis,-8.568508030006192e-05
lcxc -type of stenosis,-0.0005000808868145582
lpd - type of stenosis,-0.00015310228772393884
lom1 - type of stenosis,-0.0007347673649306551
lom2 - type of stenosis,0.0008730142621090804
im - type of stenosis,0.0008075053913261342
lpl - type of stenosis,-0.0008831876231694942
rcaa - type of stenosis,-0.00027733930845484157
rcab - type of stenosis,0.00037484272696202087
rcac - type of stenosis,0.0008376208967770434
rpd - type of stenosis,-0.0004766246436739897
rpl - type of stenosis,0.0007937027350896203
str_seg_1,-0.003557091373163245
str_seg_4,-0.0020972962700600635
str_seg_5,-0.0007890001747884288
str_seg_6,-0.0020559851667666914
str_seg_7,0.00015928252338499462
str_seg_8,0.0035962923476803724
str_seg_9,0.002353341703071542
str_seg_10,-0.0022089084037594945
str_seg_11,0.0005105459419488355
str_seg_12,0.0007877549747401797
str_seg_13,-4.830952332369217e-05
str_seg_14,0.0013604105539443548
str_seg_15,0.0011946304223370324
str_seg_16,-0.0007617579687084131
str_seg_17,-0.00020916532019234633
stenosis type 1 count,-9.964879597415344e-05
stenosis type 2 count,7.097508180527636e-05
max cta type,0.0034647140860425826
max high risk cta type,0.00021478476664196113
sis,-9.542876809169964e-05
max_str_seg,0.010368904957814834
max_lad_str,-0.0014330688388348605
max_lcx_str,0.0008962845078469015
max_rca_str,0.001142232057265166
non-zero pet segs,-0.0034854263794274003
