,0
lm - type of stenosis,-0.0011179099577876403
lada - type of stenosis,-0.0023005047181871643
ladb - type of stenosis,-0.001980114578065173
ladc - type of stenosis,-0.0025887058960919113
d1 - type of stenosis,-0.0021074158377142587
d2 - type of stenosis,-0.0017517972167800475
lcxa - type of stenosis,-0.003161428252818466
lcxb - type of stenosis,-0.0024486825078648385
lcxc -type of stenosis,-0.0018128743961481008
lpd - type of stenosis,-0.001363491520456645
lom1 - type of stenosis,-0.002567950902087709
lom2 - type of stenosis,-0.0010455107209279327
im - type of stenosis,-0.002682920662211535
lpl - type of stenosis,-0.0022030195638479957
rcaa - type of stenosis,-0.002579840811306932
rcab - type of stenosis,-0.0020154180942686386
rcac - type of stenosis,-0.002578117568756166
rpd - type of stenosis,-0.0014393239486899302
rpl - type of stenosis,-0.0020831565871218525
str_seg_1,-0.004705562936605144
str_seg_4,-0.005759255018904945
str_seg_5,-0.006381841315518779
str_seg_6,-0.003355462891168919
str_seg_7,-0.0025605638649289575
str_seg_8,-0.004980759380362037
str_seg_9,-0.0015410061755793433
str_seg_10,-0.0012430025732984092
str_seg_11,-0.005781459575433102
str_seg_12,-0.004724864304259913
str_seg_13,-0.007034703517072435
str_seg_14,-0.009120250971483931
str_seg_15,-0.0017803788051747298
str_seg_16,-0.0073953114960902885
str_seg_17,-0.004313961411695979
stenosis type 1 count,0.0033211450345078408
stenosis type 2 count,-0.0017983103321021297
max cta type,-0.0009638707997972077
max high risk cta type,-0.006054104756876762
sis,0.0040875021135161425
max_str_seg,-0.008960241642173707
max_lad_str,-0.004789490715782328
max_lcx_str,-0.0072218499171038866
max_rca_str,-0.00916614375670904
non-zero pet segs,-0.009225386754397583
PET PCA1,0.02857036775341082
PET PCA2,0.0002584834239539008
