,0
lm - type of stenosis,0.0003318168169716009
lada - type of stenosis,-0.0015708296138627492
ladb - type of stenosis,-0.0009304554384440023
ladc - type of stenosis,-0.002428550568841515
d1 - type of stenosis,-0.001414738818113161
d2 - type of stenosis,-0.0008606332308058408
lcxa - type of stenosis,-0.0011507312238457157
lcxb - type of stenosis,-0.0003979417459036787
lcxc -type of stenosis,-0.0013100747974543695
lpd - type of stenosis,-0.0006551798109096938
lom1 - type of stenosis,-0.0012587982836090854
lom2 - type of stenosis,-0.0005962092606775205
im - type of stenosis,-0.0010746914603234213
lpl - type of stenosis,-0.0009775705639124505
rcaa - type of stenosis,-0.0007098895022175187
rcab - type of stenosis,-0.0017219403212047092
rcac - type of stenosis,-0.0009801400237842716
rpd - type of stenosis,-0.0008549032465990124
rpl - type of stenosis,-0.0008470423287260736
str_seg_1,-0.004361299414142985
str_seg_4,0.00013052943482755054
str_seg_5,-0.002560512867170201
str_seg_6,-0.0011448837997256893
str_seg_7,-0.00020955755043116186
str_seg_8,-0.002750432534914462
str_seg_9,-0.000846440136877917
str_seg_10,-0.0010392230849124004
str_seg_11,-0.0052245181737048
str_seg_12,-8.64222019784003e-05
str_seg_13,-0.006075192779842743
str_seg_14,-0.0005893489402357783
str_seg_15,0.0001398458043970006
str_seg_16,-0.003996821743210059
str_seg_17,-0.0014634061961044818
stenosis type 1 count,0.0016809752241910246
stenosis type 2 count,-0.0009972156726087084
max cta type,0.0022529187448193768
max high risk cta type,-0.004104367356140335
sis,0.0019297158094958376
max_str_seg,-0.0027305798667141548
max_lad_str,-0.002961691574274565
max_lcx_str,-0.0038718909884775084
max_rca_str,-0.004362260184315523
non-zero pet segs,-0.003515429070496697
PCA1,0.012905297893218749
PCA2,0.0006134815588170023
