,0
sex,-0.0006932849876644618
age,0.0006054834528262802
bmi,-0.0011758885063992888
smoking,7.715201126129075e-05
diabetes,0.0005917782429859822
hypertension,-0.0004019878032979388
dyslipidemia,-0.0007450728819833114
chestpain,0.0004347947840194783
dyspnea,-0.0005167641583434922
lm - type of stenosis,7.664354368881205e-05
lada - type of stenosis,0.001542459753137987
ladb - type of stenosis,-0.0007559505434246066
ladc - type of stenosis,-0.0005997725241362969
d1 - type of stenosis,0.00042967020315185493
d2 - type of stenosis,-0.0005722772020863134
lcxa - type of stenosis,-0.0004445143361780255
lcxb - type of stenosis,-0.0009750785513899635
lcxc -type of stenosis,0.0011122834427378572
lpd - type of stenosis,-0.00030235498484560666
lom1 - type of stenosis,9.623340170757176e-05
lom2 - type of stenosis,0.00025586368366339873
im - type of stenosis,-2.7146711676298534e-05
lpl - type of stenosis,0.00014533772810434284
rcaa - type of stenosis,0.0008226960559185474
rcab - type of stenosis,0.0003414508400655737
rcac - type of stenosis,-0.0005579326109350141
rpd - type of stenosis,6.185633128549151e-06
rpl - type of stenosis,-0.00023304534619025992
str_seg_1,0.00039600964966085697
str_seg_4,-0.0010502206101509807
str_seg_5,0.001477983915832327
str_seg_6,-0.00012960112295066099
str_seg_7,0.00042562277631584197
str_seg_8,-0.00019305200504217646
str_seg_9,0.001171043979715932
str_seg_10,-0.002048664277735651
str_seg_11,0.003236850410520075
str_seg_12,-0.0011613909125604495
str_seg_13,0.0006619402058455564
str_seg_14,-0.003299337342804503
str_seg_15,0.0009545528798057419
str_seg_16,-0.0019377319181013634
str_seg_17,0.0009861673207893155
stenosis type 1 count,3.1790550029297884e-05
stenosis type 2 count,-0.00025087413545844285
max cta type,0.0011041430202145177
max high risk cta type,-0.002269580484827093
sis,-0.0003345293039835894
max_str_seg,0.00099175469812544
max_lad_str,-0.0019308629935669453
max_lcx_str,-0.0003390851933325442
max_rca_str,0.0021854803334158297
non-zero pet segs,-6.659541812504672e-05
PET PCA1,0.00012243138349768155
PET PCA2,0.00023488932211314674
