,0
lm - type of stenosis,-0.0007240096868938264
lada - type of stenosis,-0.003952822608789683
ladb - type of stenosis,-0.0009876967217147651
ladc - type of stenosis,-0.002015277155021338
d1 - type of stenosis,-0.000965704723469304
d2 - type of stenosis,-0.0005024801916818974
lcxa - type of stenosis,-0.0023393808372262222
lcxb - type of stenosis,-0.0011308437680648418
lcxc -type of stenosis,-0.002951828208721656
lpd - type of stenosis,-0.0011928844092981004
lom1 - type of stenosis,-0.0025899228197053524
lom2 - type of stenosis,-0.0006785109799763758
im - type of stenosis,-0.0017456677036783105
lpl - type of stenosis,-0.002016430942224052
rcaa - type of stenosis,-0.0018796376865090451
rcab - type of stenosis,-0.0001609256747921533
rcac - type of stenosis,-0.0022536125337926345
rpd - type of stenosis,-0.001953880111602354
rpl - type of stenosis,0.00021244462099883238
str_seg_1,-0.008961327746723629
str_seg_4,-0.008223707725325501
str_seg_5,-0.0028613486023144593
str_seg_6,-0.0014550570492084859
str_seg_7,-0.002708993226781617
str_seg_8,-0.0016476563493163243
str_seg_9,-0.003649718056931976
str_seg_10,-0.005545578635438734
str_seg_11,-0.0026989867678524565
str_seg_12,-0.00029654829505496044
str_seg_13,-0.00443420928299128
str_seg_14,-0.004168333763954227
str_seg_15,0.0012280822773664986
str_seg_16,-0.005404024081927416
str_seg_17,-0.0038097664869592464
stenosis type 1 count,0.0027580004447681676
stenosis type 2 count,-0.0019834874236168655
max cta type,0.0007060819584635933
max high risk cta type,-0.0016209192560781376
sis,0.002610665766431566
max_str_seg,5.147566323479619e-05
max_lad_str,-0.0038823191460826134
max_lcx_str,-0.009411590817931036
max_rca_str,-0.002938673111419028
non-zero pet segs,-0.008223905652625034
PET PCA1,0.021746119698044554
PET PCA2,-0.0004142375767505127
