,0
lm - type of stenosis,-0.0004081059631131252
lada - type of stenosis,-0.0022632989995565456
ladb - type of stenosis,-6.861127679409254e-05
ladc - type of stenosis,4.170455752175091e-05
d1 - type of stenosis,0.000519393345400427
d2 - type of stenosis,0.0005614842919214774
lcxa - type of stenosis,-0.0006564649020156796
lcxb - type of stenosis,0.0005397463597129435
lcxc -type of stenosis,-0.0006448298745873739
lpd - type of stenosis,0.0002529425838069014
lom1 - type of stenosis,-0.0013003995172399018
lom2 - type of stenosis,-0.0002467605713487576
im - type of stenosis,-0.0005047410903628016
lpl - type of stenosis,0.00016381717538547645
rcaa - type of stenosis,4.0540857037388365e-05
rcab - type of stenosis,0.0004328331053066602
rcac - type of stenosis,-0.0007924704477632636
rpd - type of stenosis,-0.0009817219145648371
rpl - type of stenosis,0.0010489031786287074
str_seg_1,-0.0041475699064834415
str_seg_4,-0.009054467022004346
str_seg_5,-0.0025384939294396274
str_seg_6,-0.001957016194017767
str_seg_7,0.0025033733926630797
str_seg_8,0.0025731117738160047
str_seg_9,-0.00019085307320121408
str_seg_10,-0.004496495766003692
str_seg_11,0.0013168447486189283
str_seg_12,9.18876870292596e-05
str_seg_13,-0.00325156953219862
str_seg_14,-0.0028892730869178457
str_seg_15,0.00463028589639738
str_seg_16,-0.001662878593051267
str_seg_17,-0.0030901773176347557
stenosis type 1 count,0.0006699446477751946
stenosis type 2 count,-0.0007860317920954903
max cta type,0.0028984904694884083
max high risk cta type,0.0004198611328356253
sis,0.00014765948072140392
max_str_seg,0.003953052259406358
max_lad_str,-0.0024689535595675887
max_lcx_str,-0.0005787081089727788
max_rca_str,0.005121198827396254
non-zero pet segs,-0.0034398922389599997
PET PCA1,0.005686284892402692
PET PCA2,-0.0008549158415205616
