,0
lm - type of stenosis,0.0016840467761837443
lada - type of stenosis,0.0
ladb - type of stenosis,9.163881734812379e-05
ladc - type of stenosis,0.0
d1 - type of stenosis,-0.0
d2 - type of stenosis,0.0
lcxa - type of stenosis,0.000132136041062424
lcxb - type of stenosis,0.0
lcxc -type of stenosis,0.00022055530070971187
lpd - type of stenosis,-0.0
lom1 - type of stenosis,-0.0
lom2 - type of stenosis,-0.0
im - type of stenosis,0.0
lpl - type of stenosis,-6.322531548927048e-05
rcaa - type of stenosis,0.00023656567430434218
rcab - type of stenosis,0.00046260189923469814
rcac - type of stenosis,4.0839730078511935e-05
rpd - type of stenosis,-0.0
rpl - type of stenosis,2.971077530137595e-06
stenosis type 1 count,-0.0
stenosis type 2 count,0.0
max cta type,0.001982103923861455
max high risk cta type,0.0
sis,-0.0
