,0
sex,-0.0
age,0.0011179690068280617
bmi,-0.0
smoking,0.0002552630180209583
diabetes,0.0
hypertension,-0.0005053019764061113
dyslipidemia,0.0
chestpain,0.0
dyspnea,-0.0004924189237729469
lm - type of stenosis,0.000869420338809391
lada - type of stenosis,-0.0
ladb - type of stenosis,0.0
ladc - type of stenosis,-0.0
d1 - type of stenosis,-0.0
d2 - type of stenosis,0.0
lcxa - type of stenosis,0.0003069243041084836
lcxb - type of stenosis,7.75457221901642e-05
lcxc -type of stenosis,4.823166780500792e-05
lpd - type of stenosis,-0.0
lom1 - type of stenosis,-0.0
lom2 - type of stenosis,-0.0
im - type of stenosis,0.0005589636411496692
lpl - type of stenosis,-0.0
rcaa - type of stenosis,0.00014608564564667442
rcab - type of stenosis,0.0005203838648525024
rcac - type of stenosis,4.3373050364920316e-05
rpd - type of stenosis,0.0
rpl - type of stenosis,0.00019614617014161498
stenosis type 1 count,-0.0
stenosis type 2 count,0.0
max cta type,0.0012960295685619887
max high risk cta type,0.0
sis,-0.0
