,0
sex,-0.0
age,0.00018502343500414559
bmi,-0.0
smoking,0.0
diabetes,0.0
hypertension,-0.0
dyslipidemia,0.0
chestpain,-0.0
dyspnea,-5.825427107448922e-05
lm - type of stenosis,0.0
lada - type of stenosis,0.0
ladb - type of stenosis,0.0
ladc - type of stenosis,0.0
d1 - type of stenosis,0.0
d2 - type of stenosis,-0.0
lcxa - type of stenosis,0.0
lcxb - type of stenosis,0.0
lcxc -type of stenosis,0.0
lpd - type of stenosis,-0.0
lom1 - type of stenosis,0.0
lom2 - type of stenosis,0.0
im - type of stenosis,0.0
lpl - type of stenosis,0.0
rcaa - type of stenosis,0.0005418384559733286
rcab - type of stenosis,0.0
rcac - type of stenosis,0.0
rpd - type of stenosis,0.00010987715821303946
rpl - type of stenosis,0.0
stenosis type 1 count,-5.224878861661605e-06
stenosis type 2 count,0.0
max cta type,0.0
max high risk cta type,0.0
sis,-0.0010685981682072331
