,0
sex,-0.0
age,0.0007725126632787437
bmi,-0.0
smoking,4.974104606004263e-05
diabetes,0.0
hypertension,-0.00039045097327730204
dyslipidemia,0.0
chestpain,0.0
dyspnea,-0.0005143504698961421
lm - type of stenosis,0.00027653021912137093
lada - type of stenosis,0.0
ladb - type of stenosis,0.0
ladc - type of stenosis,-0.0001759221847441247
d1 - type of stenosis,-0.0006915946081538663
d2 - type of stenosis,-0.0
lcxa - type of stenosis,6.764048495636406e-05
lcxb - type of stenosis,-0.0
lcxc -type of stenosis,-0.0
lpd - type of stenosis,-8.5743200501073e-06
lom1 - type of stenosis,-0.00018747709321877379
lom2 - type of stenosis,-0.0
im - type of stenosis,0.0
lpl - type of stenosis,-0.0
rcaa - type of stenosis,0.0
rcab - type of stenosis,0.0006486467753704184
rcac - type of stenosis,-0.0
rpd - type of stenosis,-0.0
rpl - type of stenosis,0.0
stenosis type 1 count,-0.0
stenosis type 2 count,-0.0
max cta type,0.000728291483477092
max high risk cta type,0.0
sis,-0.0
CTA PCA1,0.0008541165027740029
