,0
sex,0.0
age,0.0005381138755282156
bmi,-0.0
smoking,0.00010088827059715447
diabetes,-0.0
hypertension,-0.0001433812914205705
dyslipidemia,0.0
chestpain,0.0
dyspnea,-0.00039454767440377824
lm - type of stenosis,0.0004530949129893904
lada - type of stenosis,-0.00018879538364845807
ladb - type of stenosis,-0.0
ladc - type of stenosis,-0.0003234247512701875
d1 - type of stenosis,-0.0
d2 - type of stenosis,0.0
lcxa - type of stenosis,0.0
lcxb - type of stenosis,0.0
lcxc -type of stenosis,0.0
lpd - type of stenosis,-0.0
lom1 - type of stenosis,-0.0
lom2 - type of stenosis,-0.0
im - type of stenosis,0.00034557183702525
lpl - type of stenosis,-0.0
rcaa - type of stenosis,-0.0
rcab - type of stenosis,0.0
rcac - type of stenosis,0.0
rpd - type of stenosis,0.0
rpl - type of stenosis,0.0
stenosis type 1 count,-0.0
stenosis type 2 count,0.0
max cta type,9.836534327981839e-05
max high risk cta type,-0.0
sis,-0.0
CTA PCA1,0.0009860955069892247
